CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
SK,3190,SAS,2024-11-11T02:05:00,2024-11-11T02:08:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,LANDED,נחתה
LY,2374,EL AL ISRAEL AIRLINES,2024-11-11T02:20:00,2024-11-11T02:23:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,LANDED,נחתה
SK,3156,SAS,2024-11-11T02:20:00,2024-11-11T02:23:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,LANDED,נחתה
LY,352,EL AL ISRAEL AIRLINES,2024-11-11T01:55:00,2024-11-11T02:26:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,LANDED,נחתה
LY,5102,EL AL ISRAEL AIRLINES,2024-11-11T02:05:00,2024-11-11T02:31:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,,,LANDED,נחתה
IZ,272,ARKIA  ISRAELI  AIRLINES,2024-11-11T02:10:00,2024-11-11T02:34:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,LANDED,נחתה
6H,842,ISRAIR AIRLINES,2024-11-11T03:00:00,2024-11-11T02:53:00,A,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,,,LANDED,נחתה
LY,376,EL AL ISRAEL AIRLINES,2024-11-11T02:30:00,2024-11-11T02:58:00,A,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,,,LANDED,נחתה
TP,8913,AIR PORTUGAL,2024-11-11T02:30:00,2024-11-11T02:58:00,A,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,,,LANDED,נחתה
LY,544,EL AL ISRAEL AIRLINES,2024-11-11T00:30:00,2024-11-11T03:04:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
LY,288,EL AL ISRAEL AIRLINES,2024-11-11T02:20:00,2024-11-11T03:09:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,LANDED,נחתה
SK,3182,SAS,2024-11-11T02:20:00,2024-11-11T03:09:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,LANDED,נחתה
TP,8939,AIR PORTUGAL,2024-11-11T02:20:00,2024-11-11T03:09:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,LANDED,נחתה
AM,7850,AERO MEXICO,2024-11-11T02:55:00,2024-11-11T03:13:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,LANDED,נחתה
KL,2474,K.L.M.,2024-11-11T02:55:00,2024-11-11T03:13:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,LANDED,נחתה
LY,336,EL AL ISRAEL AIRLINES,2024-11-11T02:55:00,2024-11-11T03:13:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,LANDED,נחתה
SK,3152,SAS,2024-11-11T02:55:00,2024-11-11T03:13:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,LANDED,נחתה
LY,2368,EL AL ISRAEL AIRLINES,2024-11-11T00:55:00,2024-11-11T03:14:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,LANDED,נחתה
6H,892,ISRAIR AIRLINES,2024-11-11T02:20:00,2024-11-11T03:20:00,A,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,,,LANDED,נחתה
LY,2524,EL AL ISRAEL AIRLINES,2024-11-11T02:45:00,2024-11-11T03:32:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,,,LANDED,נחתה
AR,7878,AEROLINEAS ARGENTINAS S.A.,2024-11-11T02:30:00,2024-11-11T03:47:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
LY,284,EL AL ISRAEL AIRLINES,2024-11-11T02:30:00,2024-11-11T03:47:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
SK,3172,SAS,2024-11-11T02:30:00,2024-11-11T03:47:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
TP,8919,AIR PORTUGAL,2024-11-11T02:30:00,2024-11-11T03:47:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
AF,7072,AIR FRANCE,2024-11-11T03:45:00,2024-11-11T03:57:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
AM,7854,AERO MEXICO,2024-11-11T03:45:00,2024-11-11T03:57:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
LY,326,EL AL ISRAEL AIRLINES,2024-11-11T03:45:00,2024-11-11T03:57:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
SK,3158,SAS,2024-11-11T03:45:00,2024-11-11T03:57:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
IZ,282,ARKIA  ISRAELI  AIRLINES,2024-11-11T05:00:00,2024-11-11T04:55:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,,,LANDED,נחתה
IZ,338,ARKIA  ISRAELI  AIRLINES,2024-11-11T05:00:00,2024-11-11T05:01:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,LANDED,נחתה
AM,7876,AERO MEXICO,2024-11-11T04:45:00,2024-11-11T05:03:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
LY,318,EL AL ISRAEL AIRLINES,2024-11-11T04:45:00,2024-11-11T05:03:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
SK,3174,SAS,2024-11-11T04:45:00,2024-11-11T05:03:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
VS,7496,VIRGIN ATLANTIC AIRWAYS,2024-11-11T04:45:00,2024-11-11T05:03:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
AM,7878,AERO MEXICO,2024-11-11T04:40:00,2024-11-11T05:16:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,LANDED,נחתה
AR,7870,AEROLINEAS ARGENTINAS S.A.,2024-11-11T04:40:00,2024-11-11T05:16:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,LANDED,נחתה
IB,7717,IBERIA,2024-11-11T04:40:00,2024-11-11T05:16:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,LANDED,נחתה
LY,398,EL AL ISRAEL AIRLINES,2024-11-11T04:40:00,2024-11-11T05:16:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,LANDED,נחתה
6H,740,ISRAIR AIRLINES,2024-11-11T04:30:00,2024-11-11T05:21:00,A,KRK,KRAKOW,קרקוב,KRAKOW,פולין,POLAND,3,,,LANDED,נחתה
IB,7711,IBERIA,2024-11-11T04:00:00,2024-11-11T05:24:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,LANDED,נחתה
LY,392,EL AL ISRAEL AIRLINES,2024-11-11T04:00:00,2024-11-11T05:24:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,LANDED,נחתה
LY,314,EL AL ISRAEL AIRLINES,2024-11-11T04:00:00,2024-11-11T05:28:00,A,LTN,LUTON,לונדון לוטון,LONDON LUTON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
LY,5103,EL AL ISRAEL AIRLINES,2024-11-11T05:15:00,2024-11-11T05:28:00,D,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,78-99,D,DEPARTED,המריאה
LY,082,EL AL ISRAEL AIRLINES,2024-11-11T06:10:00,2024-11-11T05:34:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,LANDED,נחתה
QF,5021,QANTAS AIRWAYS,2024-11-11T06:10:00,2024-11-11T05:34:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,LANDED,נחתה
TG,4583,THAI AIRWAYS,2024-11-11T06:10:00,2024-11-11T05:34:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,LANDED,נחתה
VN,3299,VIETNAM AIRLINES,2024-11-11T06:10:00,2024-11-11T05:34:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,LANDED,נחתה
IZ,336,ARKIA  ISRAELI  AIRLINES,2024-11-11T04:15:00,2024-11-11T05:42:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
ET,404,ETHIOPIAN AIRLINES,2024-11-11T06:00:00,2024-11-11T05:53:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,,,LANDED,נחתה
LY,8804,EL AL ISRAEL AIRLINES,2024-11-11T06:00:00,2024-11-11T05:53:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,,,LANDED,נחתה
LY,5163,EL AL ISRAEL AIRLINES,2024-11-11T05:30:00,2024-11-11T06:03:00,D,OPO,PORTO,פורטו,PORTO,פורטוגל,PORTUGAL,3,78-99,D,DEPARTED,המריאה
TP,8922,AIR PORTUGAL,2024-11-11T05:30:00,2024-11-11T06:03:00,D,OPO,PORTO,פורטו,PORTO,פורטוגל,PORTUGAL,3,78-99,D,DEPARTED,המריאה
6H,725,ISRAIR AIRLINES,2024-11-11T05:40:00,2024-11-11T06:05:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,12-15,A,DEPARTED,המריאה
IZ,1168,ARKIA  ISRAELI  AIRLINES,2024-11-11T06:00:00,2024-11-11T06:11:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,LANDED,נחתה
LY,353,EL AL ISRAEL AIRLINES,2024-11-11T05:55:00,2024-11-11T06:16:00,D,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,78-99,D,DEPARTED,המריאה
LY,2371,EL AL ISRAEL AIRLINES,2024-11-11T06:00:00,2024-11-11T06:18:00,D,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,78-99,D,DEPARTED,המריאה
SK,3157,SAS,2024-11-11T06:00:00,2024-11-11T06:18:00,D,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,78-99,D,DEPARTED,המריאה
LY,5195,EL AL ISRAEL AIRLINES,2024-11-11T06:00:00,2024-11-11T06:22:00,D,BEG,BELGRADE,בלגרד,BELGRADE,סרביה,SERBIA,3,78-99,D,DEPARTED,המריאה
LY,971,EL AL ISRAEL AIRLINES,2024-11-11T06:00:00,2024-11-11T06:24:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,78-99,D,DEPARTED,המריאה
LY,5101,EL AL ISRAEL AIRLINES,2024-11-11T05:55:00,2024-11-11T06:26:00,D,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,78-99,D,DEPARTED,המריאה
B6,6484,JETBLUE AIRWAYS CORPORATION,2024-11-11T06:25:00,2024-11-11T06:28:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
DL,7444,DELTA AIRLINES,2024-11-11T06:25:00,2024-11-11T06:28:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
LY,028,EL AL ISRAEL AIRLINES,2024-11-11T06:25:00,2024-11-11T06:28:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
IZ,423,ARKIA  ISRAELI  AIRLINES,2024-11-11T05:55:00,2024-11-11T06:29:00,D,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,34-47,B,DEPARTED,המריאה
IZ,291,ARKIA  ISRAELI  AIRLINES,2024-11-11T06:00:00,2024-11-11T06:32:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,34-47,B,DEPARTED,המריאה
B6,6479,JETBLUE AIRWAYS CORPORATION,2024-11-11T06:15:00,2024-11-11T06:36:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
DL,7446,DELTA AIRLINES,2024-11-11T06:15:00,2024-11-11T06:36:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
LY,009,EL AL ISRAEL AIRLINES,2024-11-11T06:15:00,2024-11-11T06:36:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
BZ,253,BLUE BIRD AIRWAYS,2024-11-11T06:30:00,2024-11-11T06:38:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,LANDED,נחתה
AF,7067,AIR FRANCE,2024-11-11T05:50:00,2024-11-11T06:39:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
AM,7867,AERO MEXICO,2024-11-11T05:50:00,2024-11-11T06:39:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
LY,319,EL AL ISRAEL AIRLINES,2024-11-11T05:50:00,2024-11-11T06:39:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
SK,3161,SAS,2024-11-11T05:50:00,2024-11-11T06:39:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
EK,2450,EMIRATES,2024-11-11T06:55:00,2024-11-11T06:40:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
FZ,1625,FLYDUBAI,2024-11-11T06:55:00,2024-11-11T06:40:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
IZ,801,ARKIA  ISRAELI  AIRLINES,2024-11-11T06:30:00,2024-11-11T06:41:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,DEPARTED,המריאה
AM,7864,AERO MEXICO,2024-11-11T06:00:00,2024-11-11T06:43:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,DEPARTED,המריאה
KL,2473,K.L.M.,2024-11-11T06:00:00,2024-11-11T06:43:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,DEPARTED,המריאה
LY,337,EL AL ISRAEL AIRLINES,2024-11-11T06:00:00,2024-11-11T06:43:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,DEPARTED,המריאה
