CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
AM,7874,AERO MEXICO,2024-11-11T13:45:00,2024-11-11T13:32:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
B6,6462,JETBLUE AIRWAYS CORPORATION,2024-11-11T13:45:00,2024-11-11T13:32:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
DL,7429,DELTA AIRLINES,2024-11-11T13:45:00,2024-11-11T13:32:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
LY,006,EL AL ISRAEL AIRLINES,2024-11-11T13:45:00,2024-11-11T13:32:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
6H,726,ISRAIR AIRLINES,2024-11-11T13:20:00,2024-11-11T13:39:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,LANDED,נחתה
BZ,441,BLUE BIRD AIRWAYS,2024-11-11T13:25:00,2024-11-11T13:42:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,LANDED,נחתה
6H,564,ISRAIR AIRLINES,2024-11-11T13:35:00,2024-11-11T13:46:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
BZ,701,BLUE BIRD AIRWAYS,2024-11-11T13:10:00,2024-11-11T13:49:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
EK,2448,EMIRATES,2024-11-11T13:45:00,2024-11-11T13:51:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
FZ,1081,FLYDUBAI,2024-11-11T13:45:00,2024-11-11T13:51:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
LY,574,EL AL ISRAEL AIRLINES,2024-11-11T13:30:00,2024-11-11T13:52:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,,,LANDED,נחתה
LY,552,EL AL ISRAEL AIRLINES,2024-11-11T13:45:00,2024-11-11T13:55:00,A,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,,,LANDED,נחתה
E2,505,AIR HAIFA,2024-11-11T14:00:00,2024-11-11T14:00:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,9-11,A,CANCELED,מבוטלת
6H,048,ISRAIR AIRLINES,2024-11-11T14:25:00,2024-11-11T14:13:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,LANDED,נחתה
LY,375,EL AL ISRAEL AIRLINES,2024-11-11T13:40:00,2024-11-11T14:14:00,D,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,78-99,D,DEPARTED,המריאה
TP,8920,AIR PORTUGAL,2024-11-11T13:40:00,2024-11-11T14:14:00,D,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,78-99,D,DEPARTED,המריאה
B6,6482,JETBLUE AIRWAYS CORPORATION,2024-11-11T14:10:00,2024-11-11T14:18:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
DL,7442,DELTA AIRLINES,2024-11-11T14:10:00,2024-11-11T14:18:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
LY,026,EL AL ISRAEL AIRLINES,2024-11-11T14:10:00,2024-11-11T14:18:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
BZ,442,BLUE BIRD AIRWAYS,2024-11-11T14:20:00,2024-11-11T14:20:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,47-49,B,ON TIME,בזמן
AF,7073,AIR FRANCE,2024-11-11T13:50:00,2024-11-11T14:21:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
LY,327,EL AL ISRAEL AIRLINES,2024-11-11T13:50:00,2024-11-11T14:21:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
SK,3159,SAS,2024-11-11T13:50:00,2024-11-11T14:21:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
6H,886,ISRAIR AIRLINES,2024-11-11T13:55:00,2024-11-11T14:25:00,A,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,,,LANDED,נחתה
EK,2269,EMIRATES,2024-11-11T13:25:00,2024-11-11T14:26:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,59-62,C,DEPARTED,המריאה
FZ,1636,FLYDUBAI,2024-11-11T13:25:00,2024-11-11T14:26:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,59-62,C,DEPARTED,המריאה
HY,302,UZBEKISTAN AIR,2024-11-11T12:35:00,2024-11-11T14:30:00,D,TAS,TASHKENT,טשקנט,TASHKENT,אוזבקיסטן,UZBEKISTAN,3,69-74,C,ON TIME,בזמן
6H,767,ISRAIR AIRLINES,2024-11-11T14:35:00,2024-11-11T14:35:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,12-14,A,ON TIME,בזמן
LY,5106,EL AL ISRAEL AIRLINES,2024-11-11T14:35:00,2024-11-11T14:38:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,,,FINAL,סופי
BZ,252,BLUE BIRD AIRWAYS,2024-11-11T14:05:00,2024-11-11T14:40:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,45-47,B,ON TIME,בזמן
LY,5119,EL AL ISRAEL AIRLINES,2024-11-11T14:45:00,2024-11-11T14:45:00,D,KRK,KRAKOW,קרקוב,KRAKOW,פולין,POLAND,3,78-99,D,ON TIME,בזמן
IZ,901,ARKIA  ISRAELI  AIRLINES,2024-11-11T10:00:00,2024-11-11T14:50:00,D,GDN,GDANSK,גדנסק,GDANSK,פולין,POLAND,3,34-42,B,DELAYED,עיכוב
6H,151,ISRAIR AIRLINES,2024-11-11T14:55:00,2024-11-11T14:55:00,D,AGP,MALAGA,מלגה,MALAGA,ספרד,SPAIN,3,14-16,A,ON TIME,בזמן
6H,593,ISRAIR AIRLINES,2024-11-11T15:00:00,2024-11-11T15:00:00,D,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3,17-19,A,ON TIME,בזמן
AR,7876,AEROLINEAS ARGENTINAS S.A.,2024-11-11T14:30:00,2024-11-11T15:06:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,FINAL,סופי
LY,386,EL AL ISRAEL AIRLINES,2024-11-11T14:30:00,2024-11-11T15:06:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,FINAL,סופי
SK,3168,SAS,2024-11-11T14:30:00,2024-11-11T15:06:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,FINAL,סופי
TP,8937,AIR PORTUGAL,2024-11-11T14:30:00,2024-11-11T15:06:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,FINAL,סופי
EK,2449,EMIRATES,2024-11-11T14:55:00,2024-11-11T15:10:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,56-59,C,ON TIME,בזמן
FZ,1082,FLYDUBAI,2024-11-11T14:55:00,2024-11-11T15:10:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,56-59,C,ON TIME,בזמן
LY,351,EL AL ISRAEL AIRLINES,2024-11-11T14:40:00,2024-11-11T15:10:00,D,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,78-99,D,ON TIME,בזמן
LY,972,EL AL ISRAEL AIRLINES,2024-11-11T15:30:00,2024-11-11T15:17:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,FINAL,סופי
WZ,4311,RED WINGS AIRLINES,2024-11-11T12:55:00,2024-11-11T15:25:00,A,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,,,CANCELED,מבוטלת
LY,2366,EL AL ISRAEL AIRLINES,2024-11-11T14:55:00,2024-11-11T15:26:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,FINAL,סופי
BZ,461,BLUE BIRD AIRWAYS,2024-11-11T15:00:00,2024-11-11T15:26:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,,,FINAL,סופי
LY,354,EL AL ISRAEL AIRLINES,2024-11-11T15:00:00,2024-11-11T15:30:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,FINAL,סופי
6H,521,ISRAIR AIRLINES,2024-11-11T15:00:00,2024-11-11T15:30:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,19-21,A,ON TIME,בזמן
LY,387,EL AL ISRAEL AIRLINES,2024-11-11T15:45:00,2024-11-11T15:45:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
LY,5109,EL AL ISRAEL AIRLINES,2024-11-11T12:45:00,2024-11-11T15:45:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,78-99,D,ON TIME,בזמן
SK,3183,SAS,2024-11-11T15:45:00,2024-11-11T15:45:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
TP,8938,AIR PORTUGAL,2024-11-11T15:45:00,2024-11-11T15:45:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
LY,2372,EL AL ISRAEL AIRLINES,2024-11-11T15:35:00,2024-11-11T15:57:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,FINAL,סופי
SK,3154,SAS,2024-11-11T15:35:00,2024-11-11T15:57:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,FINAL,סופי
IZ,815,ARKIA  ISRAELI  AIRLINES,2024-11-11T13:25:00,2024-11-11T16:00:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,349-354,C,ON TIME,בזמן
LY,5105,EL AL ISRAEL AIRLINES,2024-11-11T16:00:00,2024-11-11T16:00:00,D,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,78-99,D,ON TIME,בזמן
AM,7851,AERO MEXICO,2024-11-11T16:05:00,2024-11-11T16:05:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,ON TIME,בזמן
KL,2475,K.L.M.,2024-11-11T16:05:00,2024-11-11T16:05:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,ON TIME,בזמן
LY,339,EL AL ISRAEL AIRLINES,2024-11-11T16:05:00,2024-11-11T16:05:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,ON TIME,בזמן
SK,3151,SAS,2024-11-11T16:05:00,2024-11-11T16:05:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,ON TIME,בזמן
AR,7879,AEROLINEAS ARGENTINAS S.A.,2024-11-11T16:15:00,2024-11-11T16:15:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
LY,363,EL AL ISRAEL AIRLINES,2024-11-11T16:15:00,2024-11-11T16:15:00,D,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,78-99,D,ON TIME,בזמן
LY,383,EL AL ISRAEL AIRLINES,2024-11-11T16:15:00,2024-11-11T16:15:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
SK,3169,SAS,2024-11-11T16:15:00,2024-11-11T16:15:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
TP,8900,AIR PORTUGAL,2024-11-11T16:15:00,2024-11-11T16:15:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
BZ,462,BLUE BIRD AIRWAYS,2024-11-11T15:55:00,2024-11-11T16:20:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,49-51,B,ON TIME,בזמן
LY,313,EL AL ISRAEL AIRLINES,2024-11-11T16:20:00,2024-11-11T16:20:00,D,LTN,LUTON,לונדון לוטון,LONDON LUTON,בריטניה,UNITED KINGDOM,3,78-99,D,CANCELED,מבוטלת
WZ,4312,RED WINGS AIRLINES,2024-11-11T13:55:00,2024-11-11T16:20:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,40-42,B,CANCELED,מבוטלת
LY,382,EL AL ISRAEL AIRLINES,2024-11-11T16:00:00,2024-11-11T16:21:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,FINAL,סופי
SK,3184,SAS,2024-11-11T16:00:00,2024-11-11T16:21:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,FINAL,סופי
6H,662,ISRAIR AIRLINES,2024-11-11T15:50:00,2024-11-11T16:25:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,FINAL,סופי
E2,507,AIR HAIFA,2024-11-11T16:30:00,2024-11-11T16:30:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,9-11,A,ON TIME,בזמן
IZ,161,ARKIA  ISRAELI  AIRLINES,2024-11-11T12:45:00,2024-11-11T16:30:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,34-38,B,ON TIME,בזמן
6H,884,ISRAIR AIRLINES,2024-11-11T15:40:00,2024-11-11T16:30:00,A,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,,,FINAL,סופי
IZ,816,ARKIA  ISRAELI  AIRLINES,2024-11-11T15:55:00,2024-11-11T16:35:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,DELAYED,עיכוב
6H,583,ISRAIR AIRLINES,2024-11-11T16:40:00,2024-11-11T16:40:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,22-24,A,ON TIME,בזמן
IZ,821,ARKIA  ISRAELI  AIRLINES,2024-11-11T16:55:00,2024-11-11T16:55:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,349-354,C,ON TIME,בזמן
AM,7877,AERO MEXICO,2024-11-11T17:00:00,2024-11-11T17:00:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,ON TIME,בזמן
LY,317,EL AL ISRAEL AIRLINES,2024-11-11T17:00:00,2024-11-11T17:00:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,ON TIME,בזמן
VS,7495,VIRGIN ATLANTIC AIRWAYS,2024-11-11T17:00:00,2024-11-11T17:00:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,ON TIME,בזמן
LY,2367,EL AL ISRAEL AIRLINES,2024-11-11T17:05:00,2024-11-11T17:05:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,78-99,D,ON TIME,בזמן
DL,7455,DELTA AIRLINES,2024-11-11T16:00:00,2024-11-11T17:08:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,FINAL,סופי
LY,358,EL AL ISRAEL AIRLINES,2024-11-11T16:00:00,2024-11-11T17:08:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,FINAL,סופי
IB,7713,IBERIA,2024-11-11T16:40:00,2024-11-11T17:11:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,FINAL,סופי
LY,394,EL AL ISRAEL AIRLINES,2024-11-11T16:40:00,2024-11-11T17:11:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,FINAL,סופי
LY,543,EL AL ISRAEL AIRLINES,2024-11-11T17:15:00,2024-11-11T17:15:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,78-99,D,ON TIME,בזמן
U8,317,TUS AIRWAYS,2024-11-11T16:50:00,2024-11-11T17:18:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,,,FINAL,סופי
AF,7068,AIR FRANCE,2024-11-11T16:40:00,2024-11-11T17:20:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,FINAL,סופי
LY,320,EL AL ISRAEL AIRLINES,2024-11-11T16:40:00,2024-11-11T17:20:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,FINAL,סופי
SK,3164,SAS,2024-11-11T16:40:00,2024-11-11T17:20:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,FINAL,סופי
KL,2472,K.L.M.,2024-11-11T16:50:00,2024-11-11T17:25:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,FINAL,סופי
LY,338,EL AL ISRAEL AIRLINES,2024-11-11T16:50:00,2024-11-11T17:25:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,FINAL,סופי
SK,3150,SAS,2024-11-11T16:50:00,2024-11-11T17:25:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,FINAL,סופי
6H,843,ISRAIR AIRLINES,2024-11-11T17:25:00,2024-11-11T17:25:00,D,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,20-22,A,ON TIME,בזמן
LY,343,EL AL ISRAEL AIRLINES,2024-11-11T16:50:00,2024-11-11T17:30:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,78-99,D,ON TIME,בזמן
SK,3191,SAS,2024-11-11T16:50:00,2024-11-11T17:30:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,78-99,D,ON TIME,בזמן
E2,506,AIR HAIFA,2024-11-11T17:35:00,2024-11-11T17:35:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,CANCELED,מבוטלת
LY,348,EL AL ISRAEL AIRLINES,2024-11-11T17:30:00,2024-11-11T17:47:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,FINAL,סופי
SK,3188,SAS,2024-11-11T17:30:00,2024-11-11T17:47:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,FINAL,סופי
U8,109,TUS AIRWAYS,2024-11-11T17:50:00,2024-11-11T17:50:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,52-55,B,ON TIME,בזמן
IZ,162,ARKIA  ISRAELI  AIRLINES,2024-11-11T15:50:00,2024-11-11T18:00:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,DELAYED,עיכוב
IZ,214,ARKIA  ISRAELI  AIRLINES,2024-11-11T11:20:00,2024-11-11T18:05:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,DELAYED,עיכוב
6H,594,ISRAIR AIRLINES,2024-11-11T18:10:00,2024-11-11T18:10:00,A,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
LY,5164,EL AL ISRAEL AIRLINES,2024-11-11T18:00:00,2024-11-11T18:12:00,A,OPO,PORTO,פורטו,PORTO,פורטוגל,PORTUGAL,3,,,FINAL,סופי
TP,8917,AIR PORTUGAL,2024-11-11T18:00:00,2024-11-11T18:12:00,A,OPO,PORTO,פורטו,PORTO,פורטוגל,PORTUGAL,3,,,FINAL,סופי
LY,2523,EL AL ISRAEL AIRLINES,2024-11-11T17:45:00,2024-11-11T18:15:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,78-99,D,ON TIME,בזמן
IZ,604,ARKIA  ISRAELI  AIRLINES,2024-11-11T18:10:00,2024-11-11T18:17:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,FINAL,סופי
6H,254,ISRAIR AIRLINES,2024-11-11T18:25:00,2024-11-11T18:25:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
AM,7859,AERO MEXICO,2024-11-11T17:50:00,2024-11-11T18:26:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,FINAL,סופי
AR,7872,AEROLINEAS ARGENTINAS S.A.,2024-11-11T17:50:00,2024-11-11T18:26:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,FINAL,סופי
IB,7715,IBERIA,2024-11-11T17:50:00,2024-11-11T18:26:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,FINAL,סופי
LY,396,EL AL ISRAEL AIRLINES,2024-11-11T17:50:00,2024-11-11T18:26:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,FINAL,סופי
LY,571,EL AL ISRAEL AIRLINES,2024-11-11T17:50:00,2024-11-11T18:30:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,78-99,D,ON TIME,בזמן
LY,312,EL AL ISRAEL AIRLINES,2024-11-11T18:50:00,2024-11-11T18:56:00,A,LTN,LUTON,לונדון לוטון,LONDON LUTON,בריטניה,UNITED KINGDOM,3,,,FINAL,סופי
LY,091,EL AL ISRAEL AIRLINES,2024-11-11T19:00:00,2024-11-11T19:00:00,D,NRT,TOKYO INTL.-NARITA,טוקיו,TOKYO,יפן,JAPAN,3,78-99,D,ON TIME,בזמן
QF,5014,QANTAS AIRWAYS,2024-11-11T19:00:00,2024-11-11T19:00:00,D,NRT,TOKYO INTL.-NARITA,טוקיו,TOKYO,יפן,JAPAN,3,78-99,D,ON TIME,בזמן
AM,7856,AERO MEXICO,2024-11-11T16:55:00,2024-11-11T19:03:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,FINAL,סופי
AR,7856,AEROLINEAS ARGENTINAS S.A.,2024-11-11T16:55:00,2024-11-11T19:03:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,FINAL,סופי
B6,6456,JETBLUE AIRWAYS CORPORATION,2024-11-11T16:55:00,2024-11-11T19:03:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,FINAL,סופי
DL,7431,DELTA AIRLINES,2024-11-11T16:55:00,2024-11-11T19:03:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,FINAL,סופי
LY,008,EL AL ISRAEL AIRLINES,2024-11-11T16:55:00,2024-11-11T19:03:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,FINAL,סופי
IZ,335,ARKIA  ISRAELI  AIRLINES,2024-11-11T17:15:00,2024-11-11T19:05:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,34-38,B,ON TIME,בזמן
6H,341,ISRAIR AIRLINES,2024-11-11T19:05:00,2024-11-11T19:05:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,12-15,A,ON TIME,בזמן
IZ,211,ARKIA  ISRAELI  AIRLINES,2024-11-11T19:25:00,2024-11-11T19:25:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,34-37,B,ON TIME,בזמן
IZ,822,ARKIA  ISRAELI  AIRLINES,2024-11-11T19:25:00,2024-11-11T19:25:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,NOT FINAL,לא סופי
6H,666,ISRAIR AIRLINES,2024-11-11T19:35:00,2024-11-11T19:35:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
6H,584,ISRAIR AIRLINES,2024-11-11T19:50:00,2024-11-11T19:50:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
AM,7862,AERO MEXICO,2024-11-11T20:00:00,2024-11-11T20:00:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
E2,508,AIR HAIFA,2024-11-11T20:00:00,2024-11-11T20:00:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
LY,324,EL AL ISRAEL AIRLINES,2024-11-11T20:00:00,2024-11-11T20:00:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
SK,3160,SAS,2024-11-11T20:00:00,2024-11-11T20:00:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
LY,5129,EL AL ISRAEL AIRLINES,2024-11-11T20:15:00,2024-11-11T20:15:00,D,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,78-99,D,ON TIME,בזמן
6H,522,ISRAIR AIRLINES,2024-11-11T20:15:00,2024-11-11T20:15:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
LY,612,EL AL ISRAEL AIRLINES,2024-11-11T20:20:00,2024-11-11T20:20:00,A,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,,,NOT FINAL,לא סופי
LY,087,EL AL ISRAEL AIRLINES,2024-11-11T20:25:00,2024-11-11T20:25:00,D,HKT,PHUKET,פוקט,PHUKET,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
